"var1","var1_id","op","var2","var2_id","est","std","se","p","se_boot","p_boot","matrix","row","col","par","group","group_id","fixed","mi","pmi","epc","mi_free","pmi_free","epc_free","mi_equal","pmi_equal","epc_equal","minimum","maximum","identified","penalty_lambda","model"
"sui",9,"--","app",5,0.31286343445488,,0.13566142346275,0.0210990233369941,,,"omega",9,5,39,"Low Slow Risk",1,FALSE,0.000804654,0.9773699029,0.0019634012,0.000804654,0.9773699029,,0.000804654,0.9773699029,,-Inf,Inf,FALSE,0,"free_J_equal_h"
"con",7,"--","glt",6,0.559005942085218,,0.0707563179963801,2.7792384012505e-15,,,"omega",7,6,40,"Low Slow Risk",1,FALSE,2.42992e-05,0.9960669093,-0.0001885146,2.42992e-05,0.9960669093,,2.42992e-05,0.9960669093,,-Inf,Inf,FALSE,0,"free_J_equal_h"
"mot",8,"--","glt",6,0.448774462442442,,0.0867650107646841,2.31232833883631e-07,,,"omega",8,6,41,"Low Slow Risk",1,FALSE,1.91418e-05,0.9965091552,0.0002145115,1.91418e-05,0.9965091552,,1.91418e-05,0.9965091552,,-Inf,Inf,FALSE,0,"free_J_equal_h"
"sui",9,"--","glt",6,1.47191082198335,,0.140050947858172,7.78386226581414e-26,,,"omega",9,6,42,"Low Slow Risk",1,FALSE,0.0026113993,0.95924436,-0.0033975645,0.0026113993,0.95924436,,0.0026113993,0.95924436,,-Inf,Inf,FALSE,0,"free_J_equal_h"
"mot",8,"--","con",7,1.36877766059239,,0.0760017641056346,1.63174937323167e-72,,,"omega",8,7,43,"Low Slow Risk",1,FALSE,0.0001789609,0.9893265165,-0.0005540404,0.0001789609,0.9893265165,,0.0001789609,0.9893265165,,-Inf,Inf,FALSE,0,"free_J_equal_h"
"sui",9,"--","con",7,0.469848598636129,,0.136601395210201,0.000582662132265988,,,"omega",9,7,44,"Low Slow Risk",1,FALSE,0.0021568937,0.9629576669,0.0033763714,0.0021568937,0.9629576669,,0.0021568937,0.9629576669,,-Inf,Inf,FALSE,0,"free_J_equal_h"
"sui",9,"--","mot",8,0.787634231683905,,0.136157440912647,7.26282588132744e-09,,,"omega",9,8,45,"Low Slow Risk",1,FALSE,0.000229464,0.9879140508,0.0012709555,0.000229464,0.9879140508,,0.000229464,0.9879140508,,-Inf,Inf,FALSE,0,"free_J_equal_h"
"beta",1,"inverse temp",,,1,,,,,,"beta",1,1,0,"Low Slow Risk",1,TRUE,0,,,0,,,0,,,-Inf,Inf,TRUE,0,"free_J_equal_h"
"anh",1,"~1",,,-2.13280797048955,,0.0345551327044903,0,,,"tau",1,1,1,"High Slow Risk",2,FALSE,0,,0.1158991598,3.686756489,0.0548461744,,0,,,-Inf,Inf,FALSE,0,"free_J_equal_h"
"dep",2,"~1",,,-3.47457504570005,,0.0520289279427446,0,,,"tau",2,1,2,"High Slow Risk",2,FALSE,0,,0.1034465371,1.3624469504,0.2431138535,,0,,,-Inf,Inf,FALSE,0,"free_J_equal_h"
