"var1","var1_id","op","var2","var2_id","est","std","se","p","se_boot","p_boot","matrix","row","col","par","group","group_id","fixed","mi","pmi","epc","mi_free","pmi_free","epc_free","mi_equal","pmi_equal","epc_equal","minimum","maximum","identified","penalty_lambda","model"
"glt",6,"--","app",5,0.556923258862769,,0.0560476784221518,2.88511834585185e-23,,,"omega",6,5,81,"High Slow Risk",2,FALSE,0.0001584674,0.9899561887,0.0002690324,0.0001584674,0.9899561887,,0.0001584674,0.9899561887,,-Inf,Inf,FALSE,0,"free_J_free_h"
"con",7,"--","app",5,0.525612676466201,,0.0527690305977742,2.26626916000601e-23,,,"omega",7,5,82,"High Slow Risk",2,FALSE,6.36749e-05,0.9936332229,0.0001644084,6.36749e-05,0.9936332229,,6.36749e-05,0.9936332229,,-Inf,Inf,FALSE,0,"free_J_free_h"
"mot",8,"--","app",5,0.468961652480505,,0.0578990047416711,5.51176953196738e-16,,,"omega",8,5,83,"High Slow Risk",2,FALSE,5.11799e-05,0.9942919723,0.0001588832,5.11799e-05,0.9942919723,,5.11799e-05,0.9942919723,,-Inf,Inf,FALSE,0,"free_J_free_h"
"sui",9,"--","app",5,0.273499931228932,,0.0815796026494875,0.000800699460341574,,,"omega",9,5,84,"High Slow Risk",2,FALSE,1.01373e-05,0.9974596145,9.8073e-05,1.01373e-05,0.9974596145,,1.01373e-05,0.9974596145,,-Inf,Inf,FALSE,0,"free_J_free_h"
"con",7,"--","glt",6,0.787662332223451,,0.0549555040593502,1.36644261610922e-46,,,"omega",7,6,85,"High Slow Risk",2,FALSE,2.34312e-05,0.9961377903,0.0001064034,2.34312e-05,0.9961377903,,2.34312e-05,0.9961377903,,-Inf,Inf,FALSE,0,"free_J_free_h"
"mot",8,"--","glt",6,0.780863480269294,,0.0563473107544063,1.13732249544332e-43,,,"omega",8,6,86,"High Slow Risk",2,FALSE,1.11838e-05,0.9973317081,-7.82915e-05,1.11838e-05,0.9973317081,,1.11838e-05,0.9973317081,,-Inf,Inf,FALSE,0,"free_J_free_h"
"sui",9,"--","glt",6,1.43692148101837,,0.0820831061324926,1.29644470599677e-68,,,"omega",9,6,87,"High Slow Risk",2,FALSE,5.9331e-05,0.9938542245,-0.0002340789,5.9331e-05,0.9938542245,,5.9331e-05,0.9938542245,,-Inf,Inf,FALSE,0,"free_J_free_h"
"mot",8,"--","con",7,1.36301478576994,,0.0544881337905702,4.21005536054226e-138,,,"omega",8,7,88,"High Slow Risk",2,FALSE,1.77971e-05,0.9966340067,-9.39143e-05,1.77971e-05,0.9966340067,,1.77971e-05,0.9966340067,,-Inf,Inf,FALSE,0,"free_J_free_h"
"sui",9,"--","con",7,0.464396156258818,,0.0801284105723759,6.80574034301656e-09,,,"omega",9,7,89,"High Slow Risk",2,FALSE,1.7764e-06,0.9989365553,4.15942e-05,1.7764e-06,0.9989365553,,1.7764e-06,0.9989365553,,-Inf,Inf,FALSE,0,"free_J_free_h"
"sui",9,"--","mot",8,0.908850687100681,,0.0740792241345213,1.33490813354403e-34,,,"omega",9,8,90,"High Slow Risk",2,FALSE,1.9e-09,0.9999649759,-1.414e-06,1.9e-09,0.9999649759,,1.9e-09,0.9999649759,,-Inf,Inf,FALSE,0,"free_J_free_h"
